Rank,Issuer,Parent Company,AUM (€bn),Market Share %,# ETFs,Domicile,HQ Country,Focus,Target Plan,Priority,Notes
1,iShares,BlackRock,1050,40.8%,400+,Ireland,USA,Full range,Enterprise,High,Market leader - key reference customer
2,Amundi ETF,Amundi,315,12.3%,300+,Luxembourg/Ireland,France,Full range,Enterprise,High,Acquired Lyxor - growing fast
3,Xtrackers,DWS Group,270,10.5%,200+,Ireland/Luxembourg,Germany,Full range,Enterprise,High,Strong institutional focus
4,Vanguard,Vanguard Group,180,7.0%,80+,Ireland,USA,Low-cost passive,Enterprise,High,Investor-focused culture
5,UBS ETF,UBS,120,4.7%,100+,Ireland/Luxembourg,Switzerland,Full range,Professional,Medium,Strong Swiss/EU distribution
6,Invesco,Invesco,95,3.7%,130+,Ireland,USA,Thematic/Factor,Professional,High,Innovative product range
7,SPDR,State Street,85,3.3%,70+,Ireland,USA,Core/Sectors,Professional,Medium,Strong institutional brand
8,HSBC ETF,HSBC,55,2.1%,50+,Ireland,UK,Asia/EM focus,Professional,Medium,Asian market expertise
9,BNP Paribas Easy,BNP Paribas,50,1.9%,80+,Luxembourg,France,ESG/Thematic,Professional,Medium,Strong ESG focus
10,Lyxor (legacy),Amundi,45,1.8%,100+,Luxembourg,France,Various,Professional,Low,Merged into Amundi
11,WisdomTree,WisdomTree,40,1.6%,90+,Ireland,USA,Thematic/Commodity,Professional,High,Innovative thematics
12,JPMorgan ETF,JPMorgan,35,1.4%,40+,Ireland,USA,Active ETFs,Professional,High,Fast-growing active
13,Legal & General,L&G,30,1.2%,30+,Ireland,UK,Core/ESG,Professional,Medium,UK pension focus
14,Franklin Templeton,Franklin Templeton,28,1.1%,50+,Ireland,USA,Active/Fixed Income,Professional,Medium,Active management heritage
15,Fidelity,Fidelity International,25,1.0%,25+,Ireland,UK/USA,Active/Factor,Professional,High,Expanding rapidly
16,VanEck,VanEck,22,0.9%,40+,Ireland,USA,Thematic/Crypto,Professional,High,Innovative thematics
17,Global X,Mirae Asset,18,0.7%,35+,Ireland,South Korea,Thematic,Professional,High,Growing European presence
18,HANetf,HANetf,15,0.6%,60+,Ireland,UK,White-label,Professional,High,Multiple sub-advisors
19,Ossiam,Natixis,12,0.5%,30+,Luxembourg,France,Quantitative,Starter,Medium,Quant strategies
